"","tracking_event","Date_Time","Latitude","Longitude","BirdId","trip_id"
"202","280136_1",2019-01-12 00:59:46,14.9671070599358,-24.5454829594485,"280136","280136_1"
"203","280136_1",2019-01-12 02:59:46,14.9590435782516,-24.6269463243604,"280136","280136_1"
"204","280136_1",2019-01-12 04:59:46,14.9474038070747,-24.6478955523279,"280136","280136_1"
"205","280136_1",2019-01-12 12:59:49,15.5875549043727,-25.2984637041668,"280136","280136_1"
"206","280136_1",2019-01-12 14:59:49,15.6025356926457,-25.2714472675006,"280136","280136_1"
"207","280136_1",2019-01-12 16:59:49,15.5377880271871,-25.1028231331904,"280136","280136_1"
"208","280136_1",2019-01-12 18:59:49,15.458285874614,-24.8406141836207,"280136","280136_1"
"209","280136_1",2019-01-12 20:59:49,15.2035682385676,-24.6132748212202,"280136","280136_1"
"210","280136_1",2019-01-12 22:59:49,15.1114583882509,-24.4228891637454,"280136","280136_1"
"211","280136_1",2019-01-13 00:59:49,14.99285705019,-24.5038525065652,"280136","280136_1"
"212","280136_1",2019-01-13 02:59:49,14.9458189369626,-24.6283775690767,"280136","280136_1"
"213","280136_1",2019-01-13 04:59:49,14.8647561538661,-24.5865936869954,"280136","280136_1"
"214","280136_1",2019-01-13 06:59:49,14.6730766937646,-24.4211140414122,"280136","280136_1"
"215","280136_1",2019-01-13 08:59:49,14.293854601796,-24.1744354518787,"280136","280136_1"
"216","280136_1",2019-01-13 10:59:49,14.097999572698,-23.88406334924,"280136","280136_1"
"217","280136_1",2019-01-13 12:59:49,13.951715163504,-23.7189254701941,"280136","280136_1"
"218","280136_1",2019-01-13 14:59:49,13.933397915385,-23.7465046695051,"280136","280136_1"
"219","280136_1",2019-01-13 16:59:49,13.9746178084325,-23.8321892835069,"280136","280136_1"
"220","280136_1",2019-01-13 18:59:49,14.1407687712393,-23.9985046887204,"280136","280136_1"
"221","280136_1",2019-01-13 20:59:49,14.3148623209173,-24.1156495727383,"280136","280136_1"
"222","280136_1",2019-01-13 22:59:49,14.4829843488073,-24.368291428283,"280136","280136_1"
"223","280139_1",2018-12-13 18:59:47,14.970913,-24.636902,"280139","280139_1"
"224","280139_1",2018-12-15 00:59:47,14.7278501263403,-24.6753748220731,"280139","280139_1"
"225","280139_1",2018-12-15 02:59:47,14.4548999785891,-24.7562023790718,"280139","280139_1"
"226","280139_1",2018-12-15 04:59:47,14.1943292157076,-24.801813660813,"280139","280139_1"
"227","280139_1",2018-12-15 06:59:47,14.2598944417551,-24.8231172087598,"280139","280139_1"
"228","280139_1",2018-12-15 08:59:47,14.3040208756464,-24.857680195535,"280139","280139_1"
"229","280139_1",2018-12-15 10:59:47,14.5396962748592,-25.0275744030792,"280139","280139_1"
"230","280139_1",2018-12-15 12:59:47,14.6121148764384,-25.1826514857991,"280139","280139_1"
"231","280139_1",2018-12-15 14:59:47,14.4213165490283,-25.0637875517775,"280139","280139_1"
"232","280139_1",2018-12-15 16:59:47,14.0779947292699,-24.9401751631419,"280139","280139_1"
"233","280139_1",2018-12-15 18:59:47,13.9950417156329,-24.9788141878214,"280139","280139_1"
"234","280139_1",2018-12-15 20:59:47,14.061043831932,-25.0646800740584,"280139","280139_1"
"235","280139_1",2018-12-15 22:59:47,14.1640526916798,-25.0826575106402,"280139","280139_1"
"236","280139_1",2018-12-16 00:59:47,13.9597064072821,-24.932413870338,"280139","280139_1"
"237","280139_1",2018-12-16 02:59:47,13.7464446333657,-24.8035458972398,"280139","280139_1"
"238","280139_1",2018-12-16 04:59:47,13.5767705738747,-24.7625916827239,"280139","280139_1"
"239","280139_1",2018-12-16 06:59:47,13.6050080711081,-24.8754363218522,"280139","280139_1"
"240","280139_1",2018-12-16 08:59:47,13.7367777009336,-25.0354227778132,"280139","280139_1"
"241","280139_1",2018-12-16 10:59:47,13.9075685819536,-25.1272335098498,"280139","280139_1"
"242","280139_1",2018-12-16 12:59:47,13.8759440832779,-25.1333407292836,"280139","280139_1"
"243","280139_1",2018-12-16 14:59:47,13.8674651789192,-25.1540001274792,"280139","280139_1"
"244","280139_1",2018-12-16 16:59:47,14.1077756302954,-25.2895551724053,"280139","280139_1"
"245","280139_1",2018-12-16 18:59:47,14.2468147017287,-25.3139646126634,"280139","280139_1"
"246","280139_1",2018-12-16 20:59:47,14.2456261677398,-25.0135457357463,"280139","280139_1"
"247","280139_1",2018-12-16 22:59:47,14.4697458761416,-24.8911989903644,"280139","280139_1"
"248","280139_1",2018-12-17 00:59:47,14.614518910226,-24.8694220144859,"280139","280139_1"
"249","280139_1",2018-12-17 02:59:47,14.8506462027231,-24.6316360463465,"280139","280139_1"
"250","280139_1",2018-12-17 04:59:47,14.889684201032,-24.9304649797727,"280139","280139_1"
"251","280139_1",2018-12-17 06:59:47,14.6057979309571,-24.7827070790339,"280139","280139_1"
"252","280139_1",2018-12-17 08:59:47,14.4484876921994,-24.7225286933414,"280139","280139_1"
"253","280139_1",2018-12-17 10:59:47,14.3658089854677,-24.96561447274,"280139","280139_1"
"254","280139_1",2018-12-17 12:59:47,14.0411612526587,-24.727210255341,"280139","280139_1"
"255","280139_1",2018-12-17 14:59:47,13.8923683308427,-24.7332612976201,"280139","280139_1"
"256","280139_1",2018-12-17 16:59:47,13.7128280180879,-24.7227613845902,"280139","280139_1"
"257","280139_1",2018-12-17 18:59:47,13.6368700878148,-24.7785294974836,"280139","280139_1"
"258","280139_1",2018-12-17 20:59:47,13.798985973034,-24.9834710746297,"280139","280139_1"
"259","280139_1",2018-12-17 22:59:47,13.7346798922583,-24.9676414251287,"280139","280139_1"
